날짜,종가,시가,고가,저가,거래량
2023.07.14,73400,72500,73400,72400,15738175
2023.07.13,71900,72400,72600,71900,14417279
2023.07.12,71900,71200,72000,71100,10375581
2023.07.11,71500,70200,71500,70100,12177392
2023.07.10,69500,70000,70400,69200,11713926
2023.07.07,69900,71100,71400,69800,17308877
2023.07.06,71600,71900,72400,71500,14777667
2023.07.05,72000,73000,73300,71900,12310610
2023.07.04,73000,73400,73600,72900,10214350
2023.07.03,73000,72700,73200,72600,10722181
2023.06.30,72200,72500,72700,71700,11694765
2023.06.29,72400,73100,73400,72400,12229967
2023.06.28,72700,72600,72700,72000,8783093
2023.06.27,72600,72500,72600,72000,9442997
2023.06.26,72400,71700,72500,71500,10541901
2023.06.23,71600,72000,72200,71600,12329484
2023.06.22,71300,70200,71500,70100,11411007
2023.06.21,70500,70700,71200,70400,10626603
2023.06.20,71400,70700,71400,70400,11557883
2023.06.19,71200,71300,71700,70900,11100887
2023.06.16,71800,71800,71900,70900,15373696
2023.06.15,71500,72100,72300,71300,13614994
2023.06.14,71900,72100,72200,71100,12541046
2023.06.13,72000,71700,72200,71600,13227285
2023.06.12,71000,72100,72400,70800,12064287
2023.06.09,72000,71100,72300,70800,15050209
2023.06.08,70900,70400,70900,70000,19165568
2023.06.07,71000,71300,71600,70800,14796613
2023.06.05,71700,72700,72700,71400,12686829
2023.06.02,72200,71700,72200,71600,12161798
2023.06.01,70900,70900,71600,70600,14669296
2023.05.31,71400,72400,72500,71000,25666087
2023.05.30,72300,71300,72300,71200,27476897
2023.05.26,70300,69800,70400,69500,19549511
2023.05.25,68800,69900,70000,68700,14231160
2023.05.24,68500,68100,68700,68000,8192896
2023.05.23,68400,68500,68700,68100,8561643
2023.05.22,68500,68400,69000,68000,14470308
2023.05.19,68400,67800,68400,67500,20349345
2023.05.18,66200,66000,66200,65700,14431704
2023.05.17,65000,65900,65900,64800,10745504
2023.05.16,65400,65800,65900,65300,12334657
2023.05.15,64500,64100,64600,63900,8172021
2023.05.12,64100,63700,64600,63600,8693913
2023.05.11,64200,64700,65100,64200,11648905
2023.05.10,64600,65500,65500,64300,13057727
2023.05.09,65300,65800,65800,65100,9366861
2023.05.08,65900,66300,66300,65400,9405365
2023.05.04,65100,65600,65700,64700,9791064
2023.05.03,65400,65100,65600,64900,8876749
2023.05.02,65700,66000,66300,65100,14396948
2023.04.28,65500,65200,65900,65000,19699481
2023.04.27,64600,64100,65000,63300,14779601
2023.04.26,64100,63600,64300,63300,12664541
2023.04.25,63600,65300,65400,63400,16193271
2023.04.24,65200,65300,65700,64800,12986581
2023.04.21,65700,65800,65900,65400,10538622
2023.04.20,65300,65100,65300,64600,9501169
2023.04.19,65500,65500,65800,65300,10255985
2023.04.18,65600,65900,66000,64800,14802060
2023.04.17,65300,65000,65600,64700,13486618
2023.04.14,65100,66600,66600,65000,16176490
2023.04.13,66100,65600,66100,65400,15091022
2023.04.12,66000,65800,66200,65300,15021313
2023.04.11,65900,66200,66200,65400,16323183
2023.04.10,65700,64800,66300,64700,18777166
2023.04.07,65000,63800,65200,63800,27476120
